Ia, Ib, Ic, Va, Vb, Vc
-0.979, 1.786, -0.162, 0.468, 0.483, 0.453
-1.704, 1.061, 0.241, 0.468, 0.483, 0.453
-2.429, 1.061, 0.644, 0.468, 0.483, 0.453
-2.188, 1.544, 1.289, 0.468, 0.483, 0.453
-1.865, 1.786, 1.208, 0.468, 0.483, 0.453
-2.268, 0.819, 0.483, 0.468, 0.483, 0.453
-1.785, 0.658, 1.289, 0.468, 0.483, 0.453
-1.462, 0.175, 2.094, 0.468, 0.483, 0.453
-1.221, -0.389, 2.255, 0.468, 0.483, 0.453
-1.140, -0.309, 2.578, 0.468, 0.483, 0.453
-1.221, 0.094, 2.578, 0.468, 0.483, 0.453
-1.140, -0.309, 1.933, 0.468, 0.483, 0.453
-1.221, -0.792, 1.208, 0.468, 0.483, 0.453
0.068, -0.792, 1.611, 0.468, 0.483, 0.453
0.793, -1.598, 1.450, 0.468, 0.483, 0.453
0.955, -2.081, 1.289, 0.468, 0.483, 0.453
0.632, -2.001, 1.289, 0.468, 0.483, 0.453
-0.254, -2.645, 0.161, 0.468, 0.483, 0.453
1.196, -1.195, 0.563, 0.468, 0.483, 0.453
1.438, -1.115, -0.323, 0.468, 0.483, 0.453
2.002, -0.792, -0.967, 0.468, 0.483, 0.453
2.163, -1.356, -1.531, 0.468, 0.483, 0.453
2.485, -0.470, -0.887, 0.468, 0.483, 0.453
1.921, -1.034, -1.290, 0.468, 0.483, 0.453
2.002, -0.309, -1.128, 0.468, 0.483, 0.453
1.599, 0.255, -1.854, 0.468, 0.483, 0.453
1.196, 0.416, -2.337, 0.468, 0.483, 0.453
0.552, 0.336, -3.465, 0.468, 0.483, 0.453
1.680, 0.577, -2.659, 0.468, 0.483, 0.453
1.680, 0.497, -2.095, 0.468, 0.483, 0.453
1.438, 1.302, -1.290, 0.468, 0.483, 0.453
-0.898, 0.658, -2.418, 0.468, 0.483, 0.453
-0.496, 2.028, -1.531, 0.468, 0.483, 0.453
-0.898, 2.269, -1.209, 0.468, 0.483, 0.453
-1.704, 1.383, -2.659, 0.468, 0.483, 0.453
-0.335, 2.189, -0.887, 0.468, 0.483, 0.453
-0.737, 1.544, -0.564, 0.468, 0.483, 0.453
-1.704, 0.577, -0.242, 0.468, 0.483, 0.453
-1.704, 1.222, 0.966, 0.468, 0.483, 0.453
-1.704, 1.383, 1.047, 0.468, 0.483, 0.453
-1.865, 1.947, 1.127, 0.468, 0.483, 0.453
-1.785, 1.625, 0.805, 0.468, 0.483, 0.453
-1.140, 1.222, 0.886, 0.468, 0.483, 0.453
-1.462, 0.013, 1.289, 0.468, 0.483, 0.453
-1.221, -0.712, 2.094, 0.468, 0.483, 0.453
-1.221, -0.470, 2.497, 0.468, 0.483, 0.453
-1.785, -0.631, 2.255, 0.468, 0.483, 0.453
-1.462, -0.309, 2.094, 0.468, 0.483, 0.453
-1.382, -0.631, 1.691, 0.468, 0.483, 0.453
0.068, -0.551, 2.014, 0.468, 0.483, 0.453
0.310, -1.598, 1.530, 0.468, 0.483, 0.453
1.357, -1.517, 2.014, 0.468, 0.483, 0.453
1.116, -1.598, 1.611, 0.468, 0.483, 0.453
0.149, -2.404, 0.805, 0.468, 0.483, 0.453
0.955, -1.437, 0.805, 0.468, 0.483, 0.453
1.438, -1.115, -0.323, 0.468, 0.483, 0.453
2.082, -1.356, -1.048, 0.468, 0.483, 0.453
2.002, -0.712, -1.370, 0.468, 0.483, 0.453
2.485, -0.792, -1.128, 0.468, 0.483, 0.453
2.163, -0.873, -0.887, 0.468, 0.483, 0.453
1.760, -0.631, -0.887, 0.468, 0.483, 0.453
1.438, -0.067, -1.370, 0.468, 0.483, 0.453
1.196, 0.577, -2.095, 0.468, 0.483, 0.453
0.471, -0.389, -3.384, 0.468, 0.483, 0.453
1.841, 1.061, -2.337, 0.468, 0.483, 0.453
2.002, 0.577, -2.095, 0.468, 0.483, 0.453
0.793, 0.175, -2.418, 0.468, 0.483, 0.453
-0.818, 0.336, -2.579, 0.468, 0.483, 0.453
-0.335, 2.108, -1.612, 0.468, 0.483, 0.453
-0.496, 2.672, -1.531, 0.468, 0.483, 0.453
-0.737, 2.511, -1.692, 0.468, 0.483, 0.453
0.068, 2.672, -0.887, 0.468, 0.483, 0.453
-0.415, 1.705, -1.048, 0.468, 0.483, 0.453
-1.060, 1.383, -0.403, 0.468, 0.483, 0.453
-1.704, 1.222, 0.402, 0.468, 0.483, 0.453
-1.543, 1.705, 0.725, 0.468, 0.483, 0.453
-1.704, 1.383, 0.725, 0.468, 0.483, 0.453
-2.026, 0.900, 0.402, 0.468, 0.483, 0.453
-1.543, 0.577, 0.563, 0.468, 0.483, 0.453
-0.979, -0.067, 1.530, 0.468, 0.483, 0.453
-1.140, -1.034, 1.772, 0.468, 0.483, 0.453
-1.785, -2.242, 1.450, 0.468, 0.483, 0.453
-1.060, -0.873, 2.497, 0.468, 0.483, 0.453
-1.140, -0.953, 2.255, 0.468, 0.483, 0.453
-1.624, -2.081, 0.805, 0.468, 0.483, 0.453
0.068, -1.437, 2.175, 0.468, 0.483, 0.453
0.713, -1.920, 1.772, 0.468, 0.483, 0.453
0.955, -2.645, 1.772, 0.468, 0.483, 0.453
1.035, -2.565, 1.691, 0.468, 0.483, 0.453
0.632, -2.404, 1.772, 0.468, 0.483, 0.453
1.196, -1.517, 1.691, 0.468, 0.483, 0.453
1.116, -1.920, -0.162, 0.468, 0.483, 0.453
2.324, -0.792, -0.162, 0.468, 0.483, 0.453
2.405, -0.953, -1.128, 0.468, 0.483, 0.453
2.324, -1.356, -1.451, 0.468, 0.483, 0.453
2.244, -1.115, -1.128, 0.468, 0.483, 0.453
1.438, -0.953, -1.612, 0.468, 0.483, 0.453
1.438, -0.309, -1.290, 0.468, 0.483, 0.453
0.955, 0.255, -2.256, 0.468, 0.483, 0.453
1.277, 0.819, -2.418, 0.468, 0.483, 0.453
1.357, 0.739, -2.659, 0.468, 0.483, 0.453
1.035, 0.255, -2.981, 0.468, 0.483, 0.453
0.955, 1.141, -2.095, 0.468, 0.483, 0.453
-0.254, 1.222, -2.015, 0.468, 0.483, 0.453
-0.254, 2.592, -1.370, 0.468, 0.483, 0.453
-1.221, 2.994, -1.370, 0.468, 0.483, 0.453
-0.898, 2.833, -1.370, 0.468, 0.483, 0.453
-0.415, 2.672, -1.531, 0.468, 0.483, 0.453
-0.335, 2.269, -1.451, 0.468, 0.483, 0.453
-0.173, 2.753, 0.402, 0.468, 0.483, 0.453
-1.785, 1.464, -0.162, 0.468, 0.483, 0.453
-2.026, 1.705, 0.886, 0.468, 0.483, 0.453
-2.107, 1.383, 0.322, 0.468, 0.483, 0.453
-1.704, 1.544, 0.483, 0.468, 0.483, 0.453
-1.382, 1.383, 0.805, 0.468, 0.483, 0.453
-0.818, 0.739, 1.369, 0.468, 0.483, 0.453
-0.657, -0.148, 2.255, 0.468, 0.483, 0.453
-1.140, -0.953, 1.933, 0.468, 0.483, 0.453
-0.979, -0.953, 2.094, 0.468, 0.483, 0.453
-1.462, -0.953, 1.611, 0.468, 0.483, 0.453
-0.818, -0.631, 1.852, 0.468, 0.483, 0.453
-0.254, -1.034, 1.772, 0.468, 0.483, 0.453
0.391, -2.162, 1.369, 0.468, 0.483, 0.453
1.277, -1.920, 1.611, 0.468, 0.483, 0.453
0.955, -2.726, 1.530, 0.468, 0.483, 0.453
0.955, -2.323, 1.530, 0.468, 0.483, 0.453
1.438, -1.759, 1.852, 0.468, 0.483, 0.453
1.599, -1.598, 0.483, 0.468, 0.483, 0.453
2.002, -1.598, -0.323, 0.468, 0.483, 0.453
2.727, -1.276, -0.403, 0.468, 0.483, 0.453
2.727, -1.356, -0.726, 0.468, 0.483, 0.453
2.244, -1.437, -0.806, 0.468, 0.483, 0.453
1.841, -1.034, -0.645, 0.468, 0.483, 0.453
1.599, -0.228, -0.806, 0.468, 0.483, 0.453
0.149, -0.792, -2.820, 0.468, 0.483, 0.453
1.357, 0.980, -2.015, 0.468, 0.483, 0.453
1.599, 0.819, -2.015, 0.468, 0.483, 0.453
1.519, 0.658, -2.176, 0.468, 0.483, 0.453
1.277, 0.819, -1.612, 0.468, 0.483, 0.453
0.552, 1.544, -1.370, 0.468, 0.483, 0.453
-0.576, 2.269, -1.290, 0.468, 0.483, 0.453
-1.221, 2.511, -1.451, 0.468, 0.483, 0.453
-1.382, 2.511, -1.531, 0.468, 0.483, 0.453
-0.576, 2.511, -1.290, 0.468, 0.483, 0.453
-1.060, 2.028, -1.370, 0.468, 0.483, 0.453
-1.704, 1.705, -0.887, 0.468, 0.483, 0.453
-2.026, 1.625, -0.001, 0.468, 0.483, 0.453
-2.188, 1.544, 0.805, 0.468, 0.483, 0.453
-2.268, 1.786, 0.966, 0.468, 0.483, 0.453
-1.785, 2.028, 1.047, 0.468, 0.483, 0.453
-1.382, 1.705, 1.208, 0.468, 0.483, 0.453
-1.785, 0.658, 1.047, 0.468, 0.483, 0.453
-2.268, -1.356, 0.563, 0.468, 0.483, 0.453
-0.898, -0.551, 2.336, 0.468, 0.483, 0.453
-0.979, -0.953, 2.416, 0.468, 0.483, 0.453
-1.140, -1.276, 1.772, 0.468, 0.483, 0.453
-1.462, -1.598, 1.289, 0.468, 0.483, 0.453
-1.140, -2.081, 0.805, 0.468, 0.483, 0.453
0.632, -1.759, 1.611, 0.468, 0.483, 0.453
1.599, -1.920, 1.933, 0.468, 0.483, 0.453
1.277, -2.565, 1.611, 0.468, 0.483, 0.453
0.793, -2.404, 1.289, 0.468, 0.483, 0.453
0.793, -2.323, 0.805, 0.468, 0.483, 0.453
1.921, -1.115, 0.805, 0.468, 0.483, 0.453
2.485, -0.873, -0.323, 0.468, 0.483, 0.453
2.727, -1.356, -1.128, 0.468, 0.483, 0.453
2.808, -1.195, -1.370, 0.468, 0.483, 0.453
2.727, -1.437, -1.128, 0.468, 0.483, 0.453
2.324, -1.195, -1.048, 0.468, 0.483, 0.453
1.519, -0.873, -1.692, 0.468, 0.483, 0.453
1.760, 0.175, -1.531, 0.468, 0.483, 0.453
1.599, 0.577, -1.934, 0.468, 0.483, 0.453
1.519, 0.819, -2.418, 0.468, 0.483, 0.453
1.921, 1.222, -1.692, 0.468, 0.483, 0.453
1.196, 0.900, -1.854, 0.468, 0.483, 0.453
0.391, 1.222, -1.692, 0.468, 0.483, 0.453
-0.335, 1.947, -0.967, 0.468, 0.483, 0.453
-0.898, 2.350, -1.209, 0.468, 0.483, 0.453
-0.737, 2.914, -1.209, 0.468, 0.483, 0.453
-0.415, 2.833, -1.048, 0.468, 0.483, 0.453
-0.657, 2.108, -1.290, 0.468, 0.483, 0.453
-1.060, 1.705, -0.564, 0.468, 0.483, 0.453
-1.785, 1.061, 0.080, 0.468, 0.483, 0.453
-1.704, 1.544, 1.047, 0.468, 0.483, 0.453
-2.510, 1.061, 0.886, 0.468, 0.483, 0.453
-1.462, 1.947, 1.208, 0.468, 0.483, 0.453
-1.865, 1.544, 0.886, 0.468, 0.483, 0.453
-1.140, 1.302, 1.611, 0.468, 0.483, 0.453
-2.026, -0.551, 1.289, 0.468, 0.483, 0.453
-1.301, -0.470, 2.094, 0.468, 0.483, 0.453
-1.543, -0.712, 2.416, 0.468, 0.483, 0.453
-1.140, -0.389, 2.255, 0.468, 0.483, 0.453
-2.107, -1.598, 1.289, 0.468, 0.483, 0.453
-0.576, -0.631, 1.852, 0.468, 0.483, 0.453
0.391, -1.195, 1.772, 0.468, 0.483, 0.453
0.391, -2.323, 1.289, 0.468, 0.483, 0.453
0.471, -2.242, 0.805, 0.468, 0.483, 0.453
0.793, -1.759, 1.772, 0.468, 0.483, 0.453
0.391, -1.759, 1.289, 0.468, 0.483, 0.453
0.310, -2.404, -0.001, 0.468, 0.483, 0.453
1.599, -1.276, -0.162, 0.468, 0.483, 0.453
2.244, -1.356, -0.806, 0.468, 0.483, 0.453
2.405, -1.356, -1.048, 0.468, 0.483, 0.453
1.599, -2.242, -1.773, 0.468, 0.483, 0.453
1.680, -1.840, -1.290, 0.468, 0.483, 0.453
1.599, -1.356, -1.370, 0.468, 0.483, 0.453
2.244, 0.255, -1.128, 0.468, 0.483, 0.453
1.438, -0.148, -2.579, 0.468, 0.483, 0.453
2.002, 0.577, -2.418, 0.468, 0.483, 0.453
